zero_index,gamma,C_phi,is_convex,norm_center,norm_plus,norm_minus
21701,19382.867719883,5.471416671e-83,True,1.682350859e-75,1.682047491e-75,1.682654281e-75
21801,19460.468486370,2.717772938e-83,True,8.356599234e-76,8.355092341e-76,8.358106398e-76
21901,19539.064317419,1.337916736e-83,True,4.113825555e-76,4.113083735e-76,4.114567509e-76
22001,19617.381963594,6.602906395e-84,True,2.030259490e-76,2.029893387e-76,2.030625660e-76
22101,19694.866727478,3.283235460e-84,True,1.009529048e-76,1.009347006e-76,1.009711122e-76
22201,19773.303864407,1.618600893e-84,True,4.976873104e-77,4.975975656e-77,4.977770714e-77
22301,19850.733513448,8.052354332e-85,True,2.475937453e-77,2.475490983e-77,2.476384004e-77
22401,19929.115084330,3.971716297e-85,True,1.221223115e-77,1.221002899e-77,1.221443370e-77
22501,20007.298211619,1.962504594e-85,True,6.034308000e-78,6.033219871e-78,6.035396324e-78
22601,20084.705044970,9.765244755e-86,True,3.002616882e-78,3.002075440e-78,3.003158423e-78
22701,20162.581237947,4.838580091e-86,True,1.487765022e-78,1.487496743e-78,1.488033349e-78
22801,20240.294821795,2.400985407e-86,True,7.382535573e-79,7.381204327e-79,7.383867058e-79
22901,20318.061775744,1.190833295e-86,True,3.661573477e-79,3.660913209e-79,3.662233864e-79
23001,20396.471746228,5.872127505e-87,True,1.805559839e-79,1.805234254e-79,1.805885483e-79
23101,20473.471857432,2.932655462e-87,True,9.017311479e-80,9.015685444e-80,9.018937806e-80
23201,20551.695401583,1.448555788e-87,True,4.454010694e-80,4.453207531e-80,4.454814002e-80
23301,20628.888179923,7.221807652e-88,True,2.220557125e-80,2.220156706e-80,2.220957616e-80
23401,20706.769595071,3.578154863e-88,True,1.100210846e-80,1.100012452e-80,1.100409276e-80
23501,20783.838142955,1.785899753e-88,True,5.491273905e-81,5.490283699e-81,5.492264290e-81
23601,20861.701883554,8.849938732e-89,True,2.721173874e-81,2.720683182e-81,2.721664655e-81
23701,20939.112297482,4.403507017e-89,True,1.353987702e-81,1.353743546e-81,1.354231902e-81
23801,21016.515427142,2.191216389e-89,True,6.737544897e-82,6.736329959e-82,6.738760055e-82
23901,21094.498862155,1.084675228e-89,True,3.335155834e-82,3.334554427e-82,3.335757350e-82
24001,21171.076798858,5.437731681e-90,True,1.671993422e-82,1.671691922e-82,1.672294977e-82
24101,21248.661037837,2.701445791e-90,True,8.306389411e-83,8.304891572e-83,8.307887519e-83
24201,21325.683596747,1.348878330e-90,True,4.147530292e-83,4.146782394e-83,4.148278325e-83
24301,21403.602229212,6.680992752e-91,True,2.054271279e-83,2.053900845e-83,2.054641779e-83
24401,21480.090450700,3.352052107e-91,True,1.030688796e-83,1.030502939e-83,1.030874688e-83
24501,21558.193620246,1.657510700e-91,True,5.096512925e-84,5.095593903e-84,5.097432113e-84
24601,21634.439005245,8.334452193e-92,True,2.562676853e-84,2.562214742e-84,2.563139048e-84
24701,21712.207894797,4.133630771e-92,True,1.271008549e-84,1.270779356e-84,1.271237783e-84
24801,21789.085278768,2.066701955e-92,True,6.354688409e-85,6.353542508e-85,6.355834516e-85
24901,21866.624464980,1.027146476e-92,True,3.158263865e-85,3.157694355e-85,3.158833477e-85
25001,21942.661101298,5.174521374e-93,True,1.591060134e-85,1.590773228e-85,1.591347091e-85
