Lambda,T,C_phi,T_phi_norm,bitsize_TnormT,Lambda_star,cov_rank_6,bridge_structural
0.07894736842105265,6.0,7.473734479029858,45.40995695914234,272.45974175485406,-0.5,1,1
0.13157894736842102,4.0,1.1359018167169985,6.1303473885358715,24.521389554143486,-0.5,1,1
0.13157894736842102,4.5,1.5974376186984998,10.136910360904293,45.61609662406932,-0.5,1,1
0.13157894736842102,5.0,0.7883486545054481,16.39590306928274,81.97951534641369,-0.5,1,1
0.13157894736842102,5.5,3.3997774496390107,27.39374166497389,150.6655791573564,-0.5,1,1
0.13157894736842102,6.0,7.387223575524857,44.8906667017202,269.3440002103212,-0.5,1,1
0.18421052631578938,4.0,1.1218426831817663,6.061545747242659,24.246182988970634,-0.5,1,1
0.18421052631578938,4.5,1.5799148286574436,10.023353147143725,45.10508916214676,-0.5,1,1
0.18421052631578938,5.0,0.7966849517250907,16.215304191817147,81.07652095908574,-0.5,1,1
0.18421052631578938,5.5,3.37128638407102,27.088824312391356,148.98853371815247,-0.5,1,1
0.18421052631578938,6.0,7.304448292324551,44.39349018270059,266.36094109620353,-0.5,1,1
0.23684210526315785,4.0,1.1084253115508957,5.995567940597797,23.98227176239119,-0.5,1,1
0.23684210526315785,4.5,1.5630974082138671,9.9144901031618,44.6152054642281,-0.5,1,1
0.23684210526315785,5.0,0.8038507380794044,16.042046568081176,80.21023284040588,-0.5,1,1
0.23684210526315785,5.5,3.343518426222623,26.796470857659656,147.38058971712812,-0.5,1,1
0.23684210526315785,6.0,7.225110684932034,43.91668803952861,263.5001282371717,-0.5,1,1
0.2894736842105263,4.0,1.0955965900455578,5.932197819505474,23.728791278021895,-0.5,1,1
0.2894736842105263,4.5,1.546932924054154,9.809961847590493,44.14482831415722,-0.5,1,1
0.2894736842105263,5.0,0.8099987744064734,15.87557941430021,79.37789707150105,-0.5,1,1
0.2894736842105263,5.5,3.3164533882336045,26.515726378687894,145.83649508278342,-0.5,1,1
0.2894736842105263,6.0,7.1489474797925965,43.458720696508756,260.75232417905255,-0.5,1,1
0.3421052631578947,4.0,1.0833098351697057,5.871243432735441,23.484973730941764,-0.5,1,1
0.3421052631578947,4.5,1.5313747043586616,9.709449112413239,43.692521005859575,-0.5,1,1
0.3421052631578947,5.0,0.8152580316319238,15.715412253052303,78.57706126526152,-0.5,1,1
0.3421052631578947,5.5,3.290069590428317,26.245741926687312,144.35158059678022,-0.5,1,1
0.3421052631578947,6.0,7.075724833647513,43.01821852652626,258.1093111591576,-0.5,1,1
0.39473684210526305,4.0,1.071523774328785,5.812533521464033,23.250134085856132,-0.5,1,1
0.39473684210526305,4.5,1.5163810123681927,9.61266693093029,43.257001189186305,-0.5,1,1
0.39473684210526305,5.0,0.8197380695782748,15.561106320373346,77.80553160186673,-0.5,1,1
0.39473684210526305,5.5,3.264344591213245,25.985759222814927,142.9216757254821,-0.5,1,1
0.39473684210526305,6.0,7.005234055608241,42.593957432547704,255.5637445952862,-0.5,1,1
0.4473684210526315,4.0,1.060201723254318,5.7559146294615955,23.023658517846382,-0.5,1,1
0.4473684210526315,4.5,1.501914363027545,9.519359850731732,42.83711932829279,-0.5,1,1
0.4473684210526315,5.0,0.8235324881322903,15.412267464775972,77.06133732387985,-0.5,1,1
0.4473684210526315,5.5,3.2392557031930664,25.73509804520884,141.54303924864863,-0.5,1,1
0.4473684210526315,6.0,6.937288085948879,42.18483870126241,253.10903220757444,-0.5,1,1
0.5,4.0,1.0493109154297606,5.701248702775415,22.80499481110166,-0.5,1,1
0.5,4.5,1.4879409540956239,9.42929796051309,42.4318408223089,-0.5,1,1
0.5,5.0,0.8267216717113754,15.268540235707718,76.34270117853859,-0.5,1,1
0.5,5.5,3.2147803558530796,25.493145754563717,140.21230165010044,-0.5,1,1
0.5,6.0,6.871718575492196,41.78987225648694,250.7392335389216,-0.5,1,1
