T,k,curvature,is_zero
193.079726,8,37303.827470913326,True
195.265396,0,140.97986240586255,True
195.265396,1,2.336764196397589,True
195.265396,2,56587.785412705474,True
195.265396,3,66.30583583091517,True
195.265396,4,7.328887197122214,True
195.265396,5,26.47590371385178,True
195.265396,6,49377.73268011639,True
195.265396,7,640.1731877991704,True
195.265396,8,21272.861571866124,True
196.876481,0,190.4978457548246,True
196.876481,1,6.2904944018015545,True
196.876481,2,58671.92331494821,True
196.876481,3,134.50948466416955,True
196.876481,4,66.83100517435037,True
196.876481,5,25.078153498281353,True
196.876481,6,387875.3384323394,True
196.876481,7,634.9358131377544,True
196.876481,8,61552.737094299446,True
198.01531,0,189.99456313250272,True
198.01531,1,5.039857288952827,True
198.01531,2,62218.48217027932,True
198.01531,3,108.97574834681667,True
198.01531,4,72.93511092021365,True
198.01531,5,14.585784802179091,True
198.01531,6,253810.00353946304,True
198.01531,7,631.2814039160613,True
198.01531,8,40224.84747300784,True
201.264751,0,220.1484329563993,True
201.264751,1,7.683109984683216,True
201.264751,2,75620.6859467965,True
201.264751,3,89.26826642314005,True
201.264751,4,101.80338545495715,True
201.264751,5,57.83411322068943,True
201.264751,6,42312.58150740331,True
201.264751,7,621.0876733725653,True
201.264751,8,74416.11187684917,True
202.493594,0,197.07923918779977,True
202.493594,1,6.716392216328805,True
202.493594,2,58698.01230807554,True
202.493594,3,124.28897382699078,True
202.493594,4,30.260945704796427,True
202.493594,5,41.29051242030002,True
202.493594,6,333332.6070487923,True
202.493594,7,617.3210072853279,True
202.493594,8,66030.5131385412,True
204.189671,0,138.66682860352813,True
204.189671,1,2.724422032588354,True
204.189671,2,68160.94547316013,True
204.189671,3,89.27156079597731,True
204.189671,4,13.213412036749972,True
204.189671,5,20.797077321388358,True
204.189671,6,73759.06013626617,True
204.189671,7,612.1965148077157,True
204.189671,8,25466.352081600915,True
205.394697,0,126.70585098986103,True
205.394697,1,1.6860909585707984,True
205.394697,2,46513.31035643442,True
205.394697,3,87.93143562567884,True
205.394697,4,8.713929200432347,True
205.394697,5,25.61656085586783,True
205.394697,6,23653.442270754207,True
205.394697,7,608.604519540121,True
205.394697,8,16407.067363317987,True
207.906258,0,225.50467732983284,True
207.906258,1,8.929385698756022,True
207.906258,2,64293.47069073535,True
207.906258,3,92.12030137170902,True
207.906258,4,36.06370855280261,True
207.906258,5,108.84057430327054,True
207.906258,6,256834.5900622061,True
207.906258,7,601.2502300430805,True
207.906258,8,85723.02634754035,True
209.576509,0,105.5598385871007,True
209.576509,1,1.0355109934066753,True
209.576509,2,56497.9009246319,True
209.576509,3,57.9651264325685,True
209.576509,4,2.166180723683908,True
209.576509,5,25.94129471789053,True
209.576509,6,3414.798790883293,True
209.576509,7,596.4608763267888,True
209.576509,8,3728.648753490814,True
211.690862,0,117.2096375592048,True
211.690862,1,1.2486428803998286,True
211.690862,2,47862.36459945084,True
211.690862,3,58.17458279006844,True
211.690862,4,2.8979158628317236,True
211.690862,5,26.46660250404942,True
211.690862,6,3120.1412453325893,True
211.690862,7,590.5037500520634,True
211.690862,8,10351.171438306972,True
213.347919,0,184.59184888987434,True
213.347919,1,6.2884019321902365,True
213.347919,2,48991.94689672999,True
213.347919,3,39.7121737138561,True
213.347919,4,37.56731308257599,True
213.347919,5,36.96966564548099,True
213.347919,6,66831.22720257269,True
213.347919,7,585.9162164556078,True
213.347919,8,58445.88469502472,True
214.547044,0,184.77765173788967,True
214.547044,1,5.92576582468051,True
214.547044,2,69299.57312014139,True
214.547044,3,60.88479689610164,True
214.547044,4,79.80769909377017,True
214.547044,5,22.963410711840382,True
214.547044,6,197860.52276338267,True
214.547044,7,582.6429124734096,True
214.547044,8,52828.28556314395,True
216.169538,0,139.58675934364624,True
216.169538,1,5.554098000802875,True
216.169538,2,42808.90603739177,True
216.169538,3,82.06983680411442,True
216.169538,4,109.29179414809198,True
216.169538,5,5.79279851864456,True
216.169538,6,53867.69785936354,True
216.169538,7,578.2672755839575,True
216.169538,8,32065.740847076006,True
219.067596,0,195.74759208620577,True
219.067596,1,6.590837345486008,True
219.067596,2,64931.72727820101,True
219.067596,3,129.35208912495318,True
219.067596,4,172.67860777936406,True
219.067596,5,13.023750405904977,True
219.067596,6,125903.80740546809,True
219.067596,7,570.6166797590897,True
219.067596,8,47872.80744553604,True
220.714918,0,132.73362904641834,True
220.714918,1,3.5891925942812604,True
220.714918,2,54927.58186527438,True
220.714918,3,75.07764864349276,True
220.714918,4,34.468375620377856,True
220.714918,5,8.022360237225357,True
220.714918,6,121408.9259429402,True
220.714918,7,566.3627847868916,True
220.714918,8,30524.205500270426,True
221.430705,0,176.65745763713488,True
221.430705,1,5.77825025350128,True
221.430705,2,60753.91948088657,True
221.430705,3,112.61972980776787,True
221.430705,4,6.933942531262005,True
221.430705,5,29.968751058540022,True
221.430705,6,301680.7753811061,True
221.430705,7,564.5293679918537,True
221.430705,8,52190.751103613075,True
224.007,0,111.18059005589322,True
224.007,1,1.788816635493999,True
224.007,2,40673.552572023924,True
224.007,3,78.32743316679458,True
224.007,4,13.887355110320243,True
224.007,5,22.114265141315315,True
224.007,6,21046.52162769249,True
224.007,7,558.0392875787095,True
224.007,8,14215.808077445578,True
224.983324,0,151.15284434743336,True
224.983324,1,5.653161563127167,True
224.983324,2,56681.073593196095,True
224.983324,3,9.094105925165776,True
224.983324,4,112.52198670597124,True
224.983324,5,18.68459440501624,True
224.983324,6,126798.70730575595,True
224.983324,7,555.6141478030177,True
224.983324,8,43858.177494812764,True
227.421444,0,87.6160104064457,True
227.421444,1,2.5664114658616257,True
227.421444,2,52542.0554020819,True
227.421444,3,54.23056297670531,True
227.421444,4,28.98236479698113,True
227.421444,5,20.05145613992454,True
227.421444,6,62752.4203998257,True
227.421444,7,549.6629220359454,True
227.421444,8,3790.5669824094543,True
229.337413,0,133.52066377194978,True
229.337413,1,3.6799370379172314,True
229.337413,2,41711.462177815294,True
229.337413,3,94.3853807393191,True
229.337413,4,36.78506964033268,True
229.337413,5,22.15487464596322,True
229.337413,6,36154.06733164956,True
229.337413,7,545.0676429940548,True
229.337413,8,17234.853542003617,True
231.250188,0,171.63304575423172,True
231.250188,1,5.259141702664893,True
231.250188,2,45248.649715256084,True
231.250188,3,54.825730191364364,True
231.250188,4,46.42829547485405,True
231.250188,5,19.36590712237063,True
231.250188,6,135608.7603453863,True
231.250188,7,540.558282001457,True
231.250188,8,44883.02372266401,True
231.987235,0,123.23936942590974,True
231.987235,1,2.5524444220686657,True
231.987235,2,60693.276012116745,True
231.987235,3,78.72813356637805,True
231.987235,4,12.838786833668792,True
231.987235,5,15.839599937228499,True
231.987235,6,36183.79596863651,True
231.987235,7,538.8431126774282,True
231.987235,8,21853.69191457438,True
233.693404,0,210.0114775276786,True
233.693404,1,8.239475722062256,True
233.693404,2,40948.4239098986,True
233.693404,3,121.93189272686975,True
233.693404,4,60.51037482190935,True
233.693404,5,105.34118415894689,True
233.693404,6,565675.9412005285,True
233.693404,7,534.9067656211245,True
233.693404,8,70326.41165825326,True
236.52423,0,157.6185048168015,True
236.52423,1,6.544042273212694,True
236.52423,2,52598.68208442122,True
236.52423,3,68.42893378751475,True
236.52423,4,186.83772879946048,True
236.52423,5,32.61671330800908,True
236.52423,6,301067.60748313076,True
236.52423,7,528.5053573762217,True
236.52423,8,45618.087038602316,True
17.5783825,0,1924.911197003414,False
17.5783825,1,51.272185742105194,False
17.5783825,2,654563.6525703938,False
17.5783825,3,748.5999303895761,False
17.5783825,4,46.41859656651093,False
17.5783825,5,252.3247599306444,False
17.5783825,6,8063386.0719949845,False
17.5783825,7,4397.637956030379,False
17.5783825,8,3557864.3980703447,False
23.016449,0,1467.8878328499304,False
23.016449,1,39.06569524278281,False
23.016449,2,498797.93188199354,False
23.016449,3,275.5581885449583,False
23.016449,4,4.901233996434939,False
23.016449,5,160.7501958211799,False
23.016449,6,1135652.706541892,False
23.016449,7,3613.858959296907,False
23.016449,8,2258443.521018088,False
27.717867,0,1215.8995968081554,False
27.717867,1,31.711236554853286,False
27.717867,2,415024.2373590327,False
27.717867,3,856.8770488775663,False
27.717867,4,62.50775435034939,False
