T,T_label,is_near_zero,sigma,sigma_half,radius_initial,radius_final,radius_ratio,tightness,winding_number,inward_fraction,min_radius,n_primes
37.586178,gamma_6,True,0.55,False,0.6830201283771977,1.140956243560064,1.670457715896143,-0.6704577158961429,-0.36234554870524344,0.37142857142857144,0.3145464615918722,35
37.586178,gamma_6,True,0.6,False,0.6597539553864471,1.0029046558867127,1.5201192015579006,-0.5201192015579006,-0.36051128836639573,0.37142857142857144,0.3061317458512433,35
39.2524485,mid_6_7,False,0.4,False,0.7578582832551991,0.6015510061802171,0.7937513113881906,0.20624868861180945,0.1671371037741315,0.5428571428571428,0.18393686361559758,35
39.2524485,mid_6_7,False,0.45,False,0.7320428479728128,0.6140762901593569,0.8388529330760746,0.16114706692392544,0.17904375694171337,0.5428571428571428,0.18457760205737442,35
39.2524485,mid_6_7,False,0.5,True,0.7071067811865476,0.6177810297677991,0.8736743108744383,0.12632568912556175,0.186880953655173,0.5428571428571428,0.18535723162769938,35
39.2524485,mid_6_7,False,0.55,False,0.6830201283771977,0.6134879544737458,0.8981989387799524,0.10180106122004762,0.19193013434219167,0.5428571428571428,0.1861700246441656,35
39.2524485,mid_6_7,False,0.6,False,0.6597539553864471,0.6026200063232222,0.9134011268947088,0.08659887310529124,0.19499242443543802,0.5428571428571428,0.18693516868984866,35
40.918719,gamma_7,True,0.4,False,0.7578582832551991,2.1910784447255924,2.8911453409393886,-1.8911453409393886,-0.00777937747225353,0.4857142857142857,0.6079880337750657,35
40.918719,gamma_7,True,0.45,False,0.7320428479728126,1.9697449877204127,2.6907509487662766,-1.6907509487662766,-0.0038260658835837904,0.4857142857142857,0.5840451262781968,35
40.918719,gamma_7,True,0.5,True,0.7071067811865476,1.777438999985533,2.513678340070412,-1.513678340070412,-8.332725547405806e-05,0.4857142857142857,0.5613254068362218,35
40.918719,gamma_7,True,0.55,False,0.6830201283771977,1.6097002297905905,2.35673908119679,-1.3567390811967899,0.003458088253569012,0.4857142857142857,0.5397517177485261,35
40.918719,gamma_7,True,0.6,False,0.659753955386447,1.462840498293927,2.217251577426431,-1.2172515774264312,0.00680764080845369,0.4857142857142857,0.5192519232564023,35
42.122896,mid_7_8,False,0.4,False,0.7578582832551991,0.6196814925762938,0.8176746316139741,0.18232536838602587,-0.23443359741981143,0.42857142857142855,0.14788416295430182,35
42.122896,mid_7_8,False,0.45,False,0.7320428479728128,0.5358653008890933,0.7320135732123083,0.2679864267876917,-0.22416911303674278,0.42857142857142855,0.0859916703579648,35
42.122896,mid_7_8,False,0.5,True,0.7071067811865476,0.4644346750880753,0.6568098163458979,0.34319018365410214,-0.21076388791923029,0.4857142857142857,0.06387034424076503,35
42.122896,mid_7_8,False,0.55,False,0.6830201283771978,0.40545265754800686,0.5936174362991768,0.40638256370082315,-0.19408822653196425,0.45714285714285713,0.08907382428256184,35
42.122896,mid_7_8,False,0.6,False,0.6597539553864472,0.3588065133406434,0.5438489764422473,0.4561510235577527,-0.1742935759060828,0.4857142857142857,0.12681047005617704,35
43.327073,gamma_8,True,0.4,False,0.7578582832551991,2.0937262823075113,2.762688392497883,-1.762688392497883,0.2127866430306078,0.42857142857142855,0.6510256710756868,35
43.327073,gamma_8,True,0.45,False,0.7320428479728128,1.8553270779282969,2.534451477896553,-1.5344514778965528,0.20657696809663756,0.4,0.6355883010908024,35
43.327073,gamma_8,True,0.5,True,0.7071067811865477,1.6523360711903967,2.3367560814757344,-1.3367560814757344,0.20015661146090175,0.4,0.6208227250747238,35
43.327073,gamma_8,True,0.55,False,0.6830201283771978,1.4791085564206607,2.1655416802062724,-1.1655416802062724,0.193559806725973,0.42857142857142855,0.6065473842275485,35
43.327073,gamma_8,True,0.6,False,0.6597539553864471,1.3309333267486998,2.017317692273801,-1.0173176922738012,0.18682645096663925,0.42857142857142855,0.5926267859346318,35
45.666112,mid_8_9,False,0.4,False,0.7578582832551991,0.9895190380370722,1.3056781985503012,-0.3056781985503012,0.10176528043375727,0.5142857142857142,0.4215865948153099,35
45.666112,mid_8_9,False,0.45,False,0.7320428479728128,0.9491614295231929,1.2965927228872314,-0.2965927228872314,0.09475614021009944,0.4857142857142857,0.44016283065997164,35
45.666112,mid_8_9,False,0.5,True,0.7071067811865477,0.9141314178596269,1.292777048928431,-0.2927770489284309,0.08828558639296678,0.4857142857142857,0.4703137608277221,35
45.666112,mid_8_9,False,0.55,False,0.6830201283771978,0.88314084476068,1.2929938783194477,-0.2929938783194477,0.08236906598103158,0.4857142857142857,0.5024862614049435,35
45.666112,mid_8_9,False,0.6,False,0.6597539553864471,0.8551690846713518,1.2961939488039014,-0.2961939488039014,0.07699766363596537,0.4857142857142857,0.5319189526868378,35
48.005151,gamma_9,True,0.4,False,0.7578582832551991,2.5188505224346778,3.3236431904069947,-2.3236431904069947,-0.098651330773497,0.45714285714285713,0.7578582832551991,35
48.005151,gamma_9,True,0.45,False,0.7320428479728128,2.2733520507308227,3.105490419073464,-2.105490419073464,-0.09511329498449393,0.42857142857142855,0.7320428479728128,35
48.005151,gamma_9,True,0.5,True,0.7071067811865476,2.062488468590341,2.916799164518575,-1.916799164518575,-0.09142951479191401,0.42857142857142855,0.7071067811865476,35
48.005151,gamma_9,True,0.55,False,0.6830201283771977,1.8806416629142395,2.7534205578721327,-1.7534205578721327,-0.0876588072556172,0.42857142857142855,0.6830201283771977,35
48.005151,gamma_9,True,0.6,False,0.6597539553864472,1.7231215771468338,2.611763920592981,-1.6117639205929808,-0.08385695818137236,0.42857142857142855,0.6597539553864472,35
